CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeSwap%,Mem_freeSwap,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
3,1.8333,4,4,1.6667,150723.7798,2513.7388,18.1992,0.3035,0.0217,0.0983,0.285,86,7043969024,95,7787913899,100,104853504,95,7892767403,11.3667,7.8333,17.5,0,1855069.646,30933.2941,923234.012,15394.931,931835.6336,15538.3631,TVM
2.6667,1,5.1667,3.3333,1,87641.2353,1461.6617,10.9984,0.1834,0.0317,0.0833,0.2667,86,7043969024,95,7787890005,100,104853504,95,7892743509,9.9333,7.3333,15.1667,0,1834732.291,30589.0679,913101.1856,15223.4276,921631.1055,15365.6403,TVM
2.3333,1,4.8333,3.1667,1,90941.097,1516.4432,10.4004,0.1734,0.085,0.0867,0.2567,86,7043969024,95,7787971925,100,104853504,95,7892825429,11,8,17.5,0,1854575.2,30930.2068,922773.2,15389.8132,931802,15540.3936,TVM
2.6667,1.6667,5,2.3333,1.6667,80293.888,1338.6777,11.402,0.1901,0.2217,0.1217,0.2567,86,7043753984,95,7787739136,100,104853504,95,7892592640,14.5,8.3333,21.8333,0,1834875.2,30601.6544,913319.2,15232.1414,921556,15369.513,TVM
2.3333,3.8333,1.3333,1.1667,3.8333,150610.5313,2511.8501,17.3851,0.2899,0.445,0.2017,0.28,86,7043624960,95,7787689984,100,104853504,95,7892543488,15.8333,8.1667,34.3333,0,1724433.434,28754.9347,858658.388,14318.1322,865775.046,14436.8025,TVM
3.1667,3.3333,3.6667,1.6667,4.3333,106613.3485,1777.4816,15.6139,0.2603,0.5583,0.28,0.3,86,7043452928,95,7787530923,100,104853504,95,7892384427,8.9,7.3333,12,0,1859167.966,30996.4649,925115.412,15423.7314,934052.554,15572.7335,TVM
3,3,4,1.8333,3.1667,123704.1201,2062.4228,13.001,0.2168,0.59,0.34,0.3183,86,7043366912,95,7787497472,100,104853504,95,7892350976,14.8667,7.8333,26.5,0,1835479.684,30611.7359,913774.4032,15239.7332,921705.2805,15372.0027,TVM
3,3.3333,3.3333,1.8333,3.8333,109772.8,1830.4619,13.2,0.2201,0.4317,0.3433,0.3217,86,7043194880,95,7787353429,100,104853504,95,7892206933,11.0667,7.5,19.3333,0,1854832.988,30929.3478,923030.988,15391.5456,931802,15537.8022,TVM
3,1.6667,4.1667,1.3333,4,115507.2,1926.4043,14.8,0.2468,0.285,0.3183,0.3133,86,7045297493,95,7789475840,100,104853504,95,7894329344,9.7333,7.6667,12.5,0,1838773.637,30661.5581,915143.008,15260.0135,923630.6286,15401.5446,TVM
2.3333,1,3.3333,1,4.6667,102400,1707.2357,15,0.2501,0.2667,0.3017,0.3067,86,7044843520,95,7789063509,100,104853504,95,7893917013,11.7667,7.3333,19.1667,0,1855245.059,30936.2191,923426.3263,15398.1378,931818.7327,15538.0813,TVM
3.1667,1,5.5,2.3333,4,112230.4,1871.4424,14.2,0.2368,0.1067,0.2517,0.2867,86,7044370432,95,7788599296,100,104853504,95,7893452800,12.7667,8,21.8333,0,1814631.233,30258.9834,903133.4745,15059.7545,911497.7582,15199.2289,TVM
3,2,2.5,4.3333,2.8333,86829.4599,1448.1231,8.9992,0.1501,0.0383,0.2033,0.265,86,7044126720,95,7788405419,100,104853504,95,7893258923,11.4667,8.1667,17.6667,0,1834670.6,30593.1399,913069.4,15225.4361,921601.2,15367.7039,TVM
2.6667,2.1667,4.5,3.3333,1,67180.1401,1120.0423,6.8008,0.1134,0.0567,0.175,0.2517,86,7043624960,95,7787892053,100,104853504,95,7892745557,11.7667,7.6667,19.5,0,1859203.831,31012.5743,925600.4292,15439.5401,933603.4018,15573.0342,TVM
2.8333,5,3.5,1.6667,0.8333,118784,1980.3935,14.6,0.2434,0.025,0.145,0.235,86,7043409920,95,7787735723,100,104853504,95,7892589227,11.9667,7.1667,21,0,1834479.418,30584.8519,912882.3248,15219.7787,921597.0932,15365.0732,TVM
