CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
5.3333,10.0,3.3333,5.1667,2.8333,5134223.356,36.0358,0.22,0.1483,0.0483,71477248.0,7849053525.0,1407.6667,879.1667,1910.1667,0.0,2884445.594,777257.4457,TWMwL
4.8333,9.6667,2.0,5.1667,3.3333,3685081.115,34.1306,0.175,0.0533,0.0167,1363081216.0,7853075115.0,1063.7333,506.8333,1849.8333,0.0,2813773.055,762455.69,TWMwL
5.0,10.0,3.5,4.1667,3.0,4060414.551,33.608,0.2283,0.27,0.1533,2747899904.0,7852974899.0,1252.4,599.1667,2068.0,0.0,2827963.739,739679.8832,TWMwL
1.0,1.0,1.0,1.0,1.8333,2129920.0,33.0,0.04,0.055,0.0783,2974476288.0,7805445461.0,8.8667,7.6667,11.1667,0.0,912997.5483,921591.1027,TSK
2.0,3.0,1.0,1.6667,1.8333,16384.0,3.0,0.0433,0.0117,0.0017,6980747264.0,7890217643.0,553.76,192.2,1020.8,0.0,1963733.749,787869.7511,NTSwL
5.0,10.0,2.0,2.1667,5.5,12288.0,2.0,0.255,0.14,0.0533,7085486080.0,7924117504.0,810.32,212.2,1643.4,0.0,2706955.53,727495.1165,NTSwL
6.0,11.1667,2.3333,5.8333,4.0,5882702.982,44.167,0.2583,0.3183,0.24,72880128.0,7804982613.0,1285.9,676.5,1853.5,0.0,2917135.458,781530.7177,TSKwL
32.0,27.1667,1.1667,1.0,100.0,16384.0,3.0,1.2767,1.315,1.2067,72294400.0,2093851307.0,1523.1667,1074.0,2160.6667,0.0,2798288.066,651539.1676,WSKwL
5.1667,10.0,2.5,6.3333,2.3333,4472831.267,36.6362,0.185,0.2133,0.1483,1890912256.0,7854445227.0,1013.9667,652.0,1753.8333,0.0,2918743.429,818374.3787,TWMwL
6.0,11.0,2.6667,4.6667,4.8333,5526719.52,42.1126,0.2167,0.1967,0.12,78921728.0,7807872341.0,728.7667,274.1667,1664.3333,0.0,2894841.467,770801.3578,TSKwL
1.0,1.0,1.0,1.0,1.0,2382916.677,37.2042,0.0,0.1033,0.1383,5876696405.0,7884097536.0,9.7,7.8333,15.0,0.0,907016.013,915437.3564,TWM
2.6667,2.3333,1.6667,1.8333,5.0,120828.3099,14.5997,0.1133,0.075,0.1317,6974472192.0,7877734400.0,8.7,7.1667,11.3333,0.0,923877.982,931782.1622,TVM
6.0,11.0,3.0,6.4,2.4,3763402.276,36.9853,0.295,0.285,0.1917,3804784640.0,7805301419.0,616.3,382.5,984.6667,0.0,2916998.316,772043.227,TSKwL
1.0,1.0,1.0,1.0,1.0,2250575.286,46.2036,0.0,0.0,0.0233,4484474880.0,7849537536.0,8.4,7.8333,9.3333,0.0,912963.4925,921559.021,TWM
1.6667,1.0,2.0,1.6667,1.0,1346149.785,29.4022,0.0317,0.0683,0.1467,72987989.33,7806268075.0,9.3333,7.6667,13.3333,0.0,913281.0787,921602.9132,TSK
5.1667,10.0,2.8333,4.0,4.1667,4816220.277,40.4591,0.1783,0.1167,0.0383,5682954240.0,7849252864.0,847.2,126.8333,2577.0,0.0,2763207.054,704316.7645,TWMwL
26.0,2.0,1.0,10.5,90.5,2286628.499,35.5956,1.0,1.0633,1.1883,69926912.0,1420118699.0,10.4,8.0,15.3333,0.0,915942.4,923662.8,WSK
4.8333,10.0,2.0,3.6667,3.8333,16384.0,3.0,0.3783,0.2817,0.2017,7068506112.0,7924870485.0,931.7333,352.5,2023.0,0.0,2618250.652,739661.7146,NTSwL
1.8333,1.6667,1.5,1.8333,1.0,2324190.943,35.8008,0.1617,0.1067,0.1417,73953280.0,7804605781.0,9.4,7.6667,13.6667,0.0,913400.6,921579.4,TSK
1.6667,2.0,1.0,1.6667,1.0,1914499.072,34.105,0.015,0.0983,0.1767,70322176.0,7807007403.0,9.5333,8.0,12.8333,0.0,923122.8517,931744.0208,TSK
2.8333,3.3333,4.1667,3.6667,0.3333,97483.98,11.5996,0.1317,0.5167,0.58,7044997120.0,7893402283.0,11.9667,7.8333,18.1667,0.0,915348.1592,923588.6286,TVM
26.0,1.0,1.0,1.0,100.0,2133517.838,33.9965,1.0,1.0,1.03,779627178.7,3732546901.0,10.0,8.0,13.8333,0.0,922461.4341,931920.7458,WSK
5.0,10.0,2.0,4.0,4.8333,4915372.708,41.0281,0.2583,0.225,0.185,72677376.0,7850876928.0,898.2667,454.6667,1781.1667,0.0,2848272.833,775168.4796,TWMwL
1.0,1.0,1.0,1.0,1.0,2113536.0,35.0,0.0,0.015,0.07,5648616107.0,7883560277.0,8.5667,7.6667,9.8333,0.0,921245.6134,929919.1904,TWM
5.1429,10.1429,1.8571,5.0,4.1429,4961057.308,33.3437,0.175,0.22,0.18,72138752.0,7852018347.0,1501.4667,869.1667,2192.0,0.0,2924096.164,778205.7828,TWMwL
1.5,1.1667,1.3333,2.0,1.0,2081419.748,33.9976,0.0817,0.1417,0.17,73441280.0,7803455488.0,9.9,7.8333,13.6667,0.0,923684.0375,931881.4982,TSK
5.3333,10.1667,3.1667,3.8333,3.8333,5108957.327,38.8009,0.2033,0.1733,0.11,2487356621.0,7852822528.0,1277.7333,734.0,1785.0,0.0,2784165.889,759730.8919,TWMwL
1.8333,1.8333,1.0,2.0,1.0,2119264.66,34.5988,0.0067,0.0817,0.1333,1592390315.0,7804246699.0,9.0333,7.5,12.5,0.0,923196.1,931844.6,TSK
26.0,1.0,1.0,1.0,100.0,2139763.088,34.596,1.065,1.065,1.0633,89063424.0,2231825749.0,10.3,7.8333,16.3333,0.0,917982.0561,926738.1301,WSK
11.0,1.8333,5.1667,26.0,11.3333,1750521.337,29.9945,0.3933,0.33,0.3967,5643033941.0,7007891456.0,9.1,7.1667,13.6667,0.0,913865.3724,921572.7748,WSK
26.0,2.0,1.0,0.8333,100.0,2148345.85,33.4985,1.0183,1.025,1.0717,84129792.0,2818268501.0,9.2,8.0,11.0,0.0,923556.2384,931948.9309,WSK
26.0,2.0,1.0,1.1667,99.8333,2134016.0,34.0,1.0017,1.075,1.1767,2212243456.0,4717960533.0,9.2667,8.1667,11.0,0.0,913558.2192,921572.7748,WSK
1.0,1.0,1.0,1.0,1.0,16384.0,3.0,0.0,0.01,0.06,6977665024.0,7888665941.0,10.3,8.0,16.0,0.0,911913.7986,921360.0577,NTS
5.1667,10.0,2.0,6.0,2.8333,4047758.629,32.1899,0.2083,0.195,0.1783,81067349.33,7850547883.0,608.7,279.3333,1287.8333,0.0,2702506.983,733707.3639,TWMwL
26.0,2.8333,99.1667,0.8333,0.8333,14338.0501,2.5005,1.0,1.0783,1.1533,85315584.0,2723499349.0,9.0,8.0,10.8333,0.0,883152.6573,890422.4416,WSK
13.5,15.1667,13.3333,16.6667,8.8333,627251.6344,55.9524,0.5817,0.5083,0.3883,6906312704.0,7854118229.0,1062.1667,588.5,1639.5,0.0,2855531.133,767047.8082,TVMwL
6.0,12.0,2.6667,6.8333,2.6667,6852253.346,82.8537,0.3467,0.3417,0.25,72015189.33,7805202432.0,1426.4333,788.8333,2222.3333,0.0,2898931.077,755780.8749,TSKwL
1.0,1.0,1.0,1.0,0.3333,12288.0,2.0,0.0,0.0,0.055,7116675072.0,7932639232.0,8.7667,7.6667,10.0,0.0,912396.9,921467.4,NTS
13.1667,13.6667,10.8333,12.0,15.6667,525112.0,69.2676,0.5783,0.4383,0.2617,6999859200.0,7886803627.0,945.0667,646.1667,1630.8333,0.0,2936539.515,808341.6618,TVMwL
6.0,11.0,4.1667,4.5,3.5,6042790.792,44.1621,0.3167,0.2767,0.2283,71824042.67,7802284032.0,1375.4667,912.1667,1952.8333,0.0,2885098.245,766045.917,TSKwL
1.0,1.0,1.0,1.0,1.0,2121745.186,30.5952,0.0133,0.02,0.07,363989674.7,7850786133.0,8.9667,7.6667,12.1667,0.0,912549.2,921727.1,TWM
1.0,1.0,1.0,1.0,1.0,16384.0,3.0,0.0017,0.0933,0.1383,7115409408.0,7931751765.0,10.1333,7.8333,14.3333,0.0,912258.045,921472.0,NTS
1.0,1.0,1.0,1.0,1.0,2108755.283,30.4004,0.0,0.0183,0.08,5118121301.0,7849041920.0,8.7,7.8333,10.6667,0.0,918796.5005,926697.8719,TWM
24.3333,11.8333,28.8333,21.1667,36.5,5736029.207,39.7023,0.8333,0.9133,0.85,4138227712.0,6589695317.0,669.7,258.8333,1255.6667,0.0,2735051.781,727089.1407,WSKwL
6.0,11.0,3.8571,2.8571,5.1429,7361255.111,42.2042,0.1833,0.2067,0.12,814206976.0,7801189035.0,1114.3333,396.8333,1974.6667,0.0,2720496.698,692352.7483,TSKwL
