CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
1.0,1.0,1.0,1.0,1.0,2059296.66,34344.5073,29.4036,0.4904,0.0067,0.115,0.145,22.0,1836635477.0,95.0,7749063339.0,95.0,7853916843.0,9.1,7.5,12.8333,0.0,1854963.613,30936.6847,923113.0,15395.4803,931850.6126,15541.2043,TWM
5.0,10.0,2.0,5.5,2.8333,4681794.558,78081.9639,36.2306,0.6042,0.17,0.1633,0.0867,36.0,2959544320.0,95.0,7748493312.0,95.0,7853346816.0,1194.9,690.3333,2184.8333,0.0,3675497.346,61288.9336,2878929.414,48006.16,796567.9322,13282.7736,TWMwL
1.0,1.0,1.0,1.0,1.0,2090310.082,34861.7425,34.3884,0.5735,0.0,0.0,0.005,34.0,2815363072.0,95.0,7748269397.0,95.0,7853122901.0,8.7667,7.5,11.3333,0.0,1854796.055,30923.5754,922869.8448,15386.2928,931926.2097,15537.2826,TWM
26.0,1.1667,97.8333,3.1667,1.0,2130320.99,35523.1114,34.3986,0.5736,1.065,1.12,1.155,1.0,70942720.0,19.0,1546920619.0,20.0,1651774123.0,10.5,8.0,16.3333,0.0,1851078.2,30866.7367,921259.4,15362.0043,929818.8,15504.7324,WSK
3.0,3.1667,1.3333,4.8333,1.8333,129030.1502,2151.2196,14.6006,0.2434,0.0283,0.0733,0.1867,85.0,6975504384.0,95.0,7773857109.0,95.0,7878710613.0,8.3667,7.1667,10.5,0.0,1856529.132,30962.7941,924670.1973,15421.4509,931858.9342,15541.3431,TVM
30.1667,9.8333,11.1667,1.0,100.0,16384.0,273.1577,3.0,0.05,1.2929,1.2443,1.1514,1.0,73363456.0,22.0,1811270315.0,23.0,1916123819.0,1159.05,477.5,1909.6667,3.3333,3491507.63,58211.1976,2775592.753,46275.3043,715914.8777,11935.8933,WSKwL
1.8,3.0,1.4,1.6,1.8,3986730.619,66478.7497,34.4235,0.574,0.025,0.01,0.0,19.0,1576098475.0,95.0,7748467371.0,95.0,7853320875.0,856.0333,467.8333,1157.1667,0.0,3109469.651,51850.4194,2316523.902,38628.0457,792945.7488,13222.3737,TWMwL
1.0,1.0,1.0,1.0,1.0,13923.9399,232.1818,2.5996,0.0433,0.0133,0.0333,0.0967,85.0,6976194560.0,95.0,7783823360.0,95.0,7888676864.0,11.2,8.0,18.1667,0.0,1833585.0,30575.0375,912113.0,15209.4881,921472.0,15365.5494,NTS
14.0,14.1667,12.3333,16.5,13.1667,458543.7762,7647.4946,44.9393,0.7495,0.6617,0.5783,0.4033,85.0,6924136448.0,95.0,7758833664.0,95.0,7863687168.0,877.0857,447.5714,1554.2857,0.0,3476657.659,57973.281,2740080.224,45690.8491,736577.4358,12282.4318,TVMwL
32.0,26.6667,1.0,100.0,1.0,1944996.305,32427.4142,17.9017,0.2985,1.4,1.3633,1.2267,1.0,72271872.0,24.0,1950046208.0,25.0,2054899712.0,1316.3333,603.0,2027.0,0.0,3501610.026,58389.3618,2765436.495,46113.6651,736173.5313,12275.6967,WSKwL
1.0,1.0,1.0,1.0,1.0,2025062.4,33767.924,29.4,0.4902,0.0,0.0,0.0417,20.0,1599772672.0,95.0,7748025003.0,95.0,7852878507.0,8.4333,7.6667,9.1667,0.0,1841418.078,30710.7752,916723.0751,15288.9105,924695.003,15421.8646,TWM
1.0,1.0,1.0,1.0,1.0,2187228.739,36484.2158,34.999,0.5838,0.0,0.0,0.045,22.0,1809018880.0,95.0,7746552491.0,95.0,7851405995.0,9.4333,7.6667,11.8333,0.0,1855055.096,30943.3711,923182.5417,15399.2084,931872.5547,15544.1627,TWM
5.0,9.6667,3.0,2.8333,4.5,12022.4352,200.4742,2.2901,0.0382,0.1867,0.1533,0.06,87.0,7116566528.0,96.0,7827828736.0,96.0,7932682240.0,985.7667,181.0,2045.8333,0.0,3272746.665,54573.0643,2565874.732,42785.9719,706871.9332,11787.0924,NTSwL
1.0,1.0,1.0,1.0,0.5,2109448.2,35175.0575,34.6016,0.577,0.0,0.0,0.0067,65.0,5299863552.0,95.0,7745257472.0,95.0,7850110976.0,11.1667,7.8333,18.0,0.0,1752742.5,29226.9885,872102.0,14542.3045,880640.5,14684.684,TWM
6.0,11.0,2.6,6.4,3.2,6130618.579,102245.1397,44.7094,0.7457,0.38,0.2783,0.1717,10.0,784917845.3,94.0,7696211285.0,94.0,7801064789.0,1100.2667,551.1667,1738.3333,0.0,3706018.246,61787.5666,2926072.646,48784.1388,779945.6002,13003.4278,TSKwL
5.0,10.0,1.6667,6.0,2.3333,5368238.944,89530.336,37.4035,0.6238,0.2633,0.2167,0.1267,8.0,693407744.0,95.0,7745987925.0,95.0,7850841429.0,1190.9667,330.3333,1932.3333,0.0,3566046.763,59453.9307,2802703.275,46727.297,763343.4873,12726.6337,TWMwL
5.0,10.0,1.0,4.5,4.6667,6946.3796,115.8502,1.4639,0.0244,0.2743,0.2529,0.2357,85.0,6976595968.0,95.0,7784093696.0,95.0,7888947200.0,114.4667,7.8333,373.8333,0.0,2406312.423,40125.2697,1610673.624,26857.9894,795638.7986,13267.2803,NTS
32.0,26.5,1.0,76.0,25.0,15364.5676,256.2042,2.8341,0.0473,1.5367,1.4117,1.215,1.0,72880128.0,35.0,2903551317.0,36.0,3008404821.0,1370.72,829.2,1858.2,0.0,3609604.433,60190.169,2847743.728,47486.1385,761860.7055,12704.0304,WSKwL
6.0,11.0,2.0,7.0,3.1667,5989025.157,99883.6751,43.424,0.7242,0.345,0.255,0.1583,1.0,72630272.0,94.0,7700135253.0,94.0,7804988757.0,1126.5333,495.3333,1851.5,0.0,3615333.923,60285.7082,2878185.561,47993.7562,737148.3611,12291.952,TSKwL
1.5,1.3333,1.8333,1.6667,1.0,1886078.847,31450.3726,29.6997,0.4952,0.0517,0.0433,0.0617,1.0,72400896.0,94.0,7702086315.0,94.0,7806939819.0,9.8,8.1667,12.5,0.0,1855180.719,30940.3055,923343.6548,15399.3271,931837.0642,15540.9784,TSK
14.6667,13.6667,19.1667,10.0,15.5,297078.0682,4954.6042,33.7572,0.563,0.645,0.5567,0.41,85.0,6990493696.0,95.0,7779467264.0,95.0,7884320768.0,1204.5333,661.5,1814.3333,0.0,3575693.696,59614.7665,2808876.845,46830.2242,766816.8516,12784.5424,TVMwL
15.0,16.3333,10.6667,13.0,19.5,333657.9241,5563.7473,37.7641,0.6297,0.505,0.46,0.3017,85.0,6994954240.0,95.0,7781414229.0,95.0,7886267733.0,944.2,432.5,1695.8333,0.0,3616124.757,60298.8954,2846803.272,47470.4564,769321.4849,12828.439,TVMwL
5.3333,10.0,3.3333,5.1667,2.8333,5134223.356,85613.1959,36.0358,0.6009,0.22,0.1483,0.0483,1.0,71477248.0,95.0,7744200021.0,95.0,7849053525.0,1407.6667,879.1667,1910.1667,0.0,3661703.039,61058.9134,2884445.594,48098.1423,777257.4457,12960.7711,TWMwL
4.8333,9.6667,2.0,5.1667,3.3333,3685081.115,61458.9912,34.1306,0.5692,0.175,0.0533,0.0167,17.0,1363081216.0,95.0,7748221611.0,95.0,7853075115.0,1063.7333,506.8333,1849.8333,0.0,3576228.745,59643.5748,2813773.055,46927.5026,762455.69,12716.0722,TWMwL
5.0,10.0,3.5,4.1667,3.0,4060414.551,67718.7217,33.608,0.5605,0.2283,0.27,0.1533,34.0,2747899904.0,95.0,7748121395.0,95.0,7852974899.0,1252.4,599.1667,2068.0,0.0,3567643.622,59490.4723,2827963.739,47156.3071,739679.8832,12334.1651,TWMwL
1.0,1.0,1.0,1.0,1.8333,2129920.0,35516.4249,33.0,0.5503,0.04,0.055,0.0783,36.0,2974476288.0,94.0,7700591957.0,94.0,7805445461.0,8.8667,7.6667,11.1667,0.0,1834588.651,30601.9792,912997.5483,15229.3169,921591.1027,15372.6623,TSK
2.0,3.0,1.0,1.6667,1.8333,16384.0,273.1577,3.0,0.05,0.0433,0.0117,0.0017,85.0,6980747264.0,95.0,7785364139.0,95.0,7890217643.0,553.76,192.2,1020.8,0.0,2751603.5,45890.6521,1963733.749,32750.7296,787869.7511,13139.9225,NTSwL
5.0,10.0,2.0,2.1667,5.5,12288.0,204.9025,2.0,0.0334,0.255,0.14,0.0533,87.0,7085486080.0,95.0,7819264000.0,96.0,7924117504.0,810.32,212.2,1643.4,0.0,3434450.646,57269.4788,2706955.53,45138.4947,727495.1165,12130.9841,NTSwL
6.0,11.1667,2.3333,5.8333,4.0,5882702.982,98094.0968,44.167,0.7365,0.2583,0.3183,0.24,1.0,72880128.0,94.0,7700129109.0,94.0,7804982613.0,1285.9,676.5,1853.5,0.0,3698666.176,61685.56,2917135.458,48651.3585,781530.7177,13034.2014,TSKwL
32.0,27.1667,1.1667,1.0,100.0,16384.0,273.2488,3.0,0.05,1.2767,1.315,1.2067,1.0,72294400.0,24.0,1988997803.0,25.0,2093851307.0,1523.1667,1074.0,2160.6667,0.0,3449827.233,57525.8835,2798288.066,46661.4652,651539.1676,10864.4183,WSKwL
5.1667,10.0,2.5,6.3333,2.3333,4472831.267,74596.9191,36.6362,0.611,0.185,0.2133,0.1483,23.0,1890912256.0,95.0,7749591723.0,95.0,7854445227.0,1013.9667,652.0,1753.8333,0.0,3737117.808,62326.848,2918743.429,48678.1759,818374.3787,13648.6721,TWMwL
6.0,11.0,2.6667,4.6667,4.8333,5526719.52,92127.3466,42.1126,0.702,0.2167,0.1967,0.12,1.0,78921728.0,94.0,7703018837.0,94.0,7807872341.0,728.7667,274.1667,1664.3333,0.0,3665642.824,61134.8036,2894841.467,48279.5441,770801.3578,12855.2595,TSKwL
1.0,1.0,1.0,1.0,1.0,2382916.677,39735.1455,37.2042,0.6204,0.0,0.1033,0.1383,72.0,5876696405.0,95.0,7779244032.0,95.0,7884097536.0,9.7,7.8333,15.0,0.0,1822453.369,30389.4175,907016.013,15124.4958,915437.3564,15264.9217,TWM
2.6667,2.3333,1.6667,1.8333,5.0,120828.3099,2014.8126,14.5997,0.2435,0.1133,0.075,0.1317,85.0,6974472192.0,95.0,7772880896.0,95.0,7877734400.0,8.7,7.1667,11.3333,0.0,1855660.144,30943.1406,923877.982,15405.6692,931782.1622,15537.4714,TVM
6.0,11.0,3.0,6.4,2.4,3763402.276,62744.286,36.9853,0.6166,0.295,0.285,0.1917,46.0,3804784640.0,94.0,7700447915.0,94.0,7805301419.0,616.3,382.5,984.6667,0.0,3689041.543,61504.5272,2916998.316,48632.8496,772043.227,12871.6777,TSKwL
1.0,1.0,1.0,1.0,1.0,2250575.286,37522.0955,46.2036,0.7703,0.0,0.0,0.0233,55.0,4484474880.0,95.0,7744684032.0,95.0,7849537536.0,8.4,7.8333,9.3333,0.0,1834522.514,30595.7724,912963.4925,15226.209,921559.021,15369.5634,TWM
1.6667,1.0,2.0,1.6667,1.0,1346149.785,22447.0533,29.4022,0.4903,0.0317,0.0683,0.1467,1.0,72987989.33,94.0,7701414571.0,94.0,7806268075.0,9.3333,7.6667,13.3333,0.0,1834883.992,30596.6982,913281.0787,15228.9658,921602.9132,15367.7324,TSK
5.1667,10.0,2.8333,4.0,4.1667,4816220.277,80310.4932,40.4591,0.6747,0.1783,0.1167,0.0383,69.0,5682954240.0,95.0,7744399360.0,95.0,7849252864.0,847.2,126.8333,2577.0,0.0,3467523.819,57830.6174,2763207.054,46084.1737,704316.7645,11746.4437,TWMwL
